INFO  - 2015-06-28 11:19:09.365; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /opt/solr/solr/collection1
INFO  - 2015-06-28 11:19:09.366; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/solr/collection1/'
INFO  - 2015-06-28 11:19:09.507; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2015-06-28 11:19:09.509; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /opt/solr/solr/collection1/../../../contrib/extraction/lib).
WARN  - 2015-06-28 11:19:09.509; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /opt/solr/solr/collection1/../../../dist).
WARN  - 2015-06-28 11:19:09.510; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /opt/solr/solr/collection1/../../../contrib/clustering/lib).
WARN  - 2015-06-28 11:19:09.510; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /opt/solr/solr/collection1/../../../dist).
WARN  - 2015-06-28 11:19:09.511; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /opt/solr/solr/collection1/../../../contrib/langid/lib).
WARN  - 2015-06-28 11:19:09.511; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /opt/solr/solr/collection1/../../../dist).
WARN  - 2015-06-28 11:19:09.512; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /opt/solr/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2015-06-28 11:19:09.512; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /opt/solr/solr/collection1/../../../dist).
INFO  - 2015-06-28 11:19:09.783; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-06-28 11:19:09.790; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2015-06-28 11:19:10.127; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-06-28 11:19:10.147; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2015-06-28 11:19:10.366; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-06-28 11:19:11.553; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-06-28 11:19:11.713; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-06-28 11:19:11.730; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-06-28 11:19:12.324; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-06-28 11:19:12.336; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /opt/solr/solr/collection1/, dataDir=/opt/solr/solr/collection1/data/
INFO  - 2015-06-28 11:19:12.338; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-06-28 11:19:12.345; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-06-28 11:19:12.346; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-06-28 11:19:12.368; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/solr/collection1/data
INFO  - 2015-06-28 11:19:12.368; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/opt/solr/solr/collection1/data/index/
INFO  - 2015-06-28 11:19:12.369; org.apache.solr.core.CachingDirectoryFactory; return new directory for /opt/solr/solr/collection1/data/index
INFO  - 2015-06-28 11:19:12.390; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-06-28 11:19:12.391; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-06-28 11:19:12.392; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-06-28 11:19:12.401; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-06-28 11:19:12.402; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-06-28 11:19:12.580; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-06-28 11:19:12.599; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-06-28 11:19:12.600; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
